Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Rachuonyo South,Guernsey,1,75,Zero-grazing,26,5855
Homa Bay Town,Ayrshire,4,114,Mixed,23,9831
Suba South,Guernsey,4,113,Zero-grazing,29,10502
Rachuonyo East,Brown Swiss,1,69,Grazing,19,8367
Rachuonyo South,Ayrshire,5,79,Mixed,18,6887
Rachuonyo North,Holstein-Friesian,5,64,Zero-grazing,27,5759
Homa Bay Town,Holstein-Friesian,1,51,Grazing,27,6716
Suba North,Brown Swiss,6,61,Mixed,16,2337
Rachuonyo East,Holstein-Friesian,2,98,Zero-grazing,15,9317
Rachuonyo East,Brown Swiss,5,53,Zero-grazing,29,6832
Rachuonyo South,Ayrshire,6,60,Mixed,24,3328
Rachuonyo East,Ayrshire,6,50,Mixed,15,3232
Rachuonyo South,Ayrshire,7,51,Grazing,26,6872
Suba North,Guernsey,1,69,Mixed,17,7304
Suba North,Brown Swiss,5,52,Zero-grazing,25,6187
Rachuonyo East,Brown Swiss,7,70,Mixed,29,5920
Suba North,Ayrshire,2,87,Mixed,15,10075
Ndhiwa,Jersey,5,52,Grazing,20,7574
Rachuonyo South,Guernsey,6,64,Grazing,26,3647
Rachuonyo South,Brown Swiss,5,50,Mixed,17,6972
Rachuonyo North,Guernsey,2,107,Mixed,19,10157
Ndhiwa,Holstein-Friesian,2,103,Zero-grazing,22,11983
Homa Bay Town,Ayrshire,4,96,Grazing,27,10586
Rachuonyo South,Jersey,4,106,Mixed,22,10980
Rachuonyo East,Guernsey,6,65,Mixed,27,2259
Rachuonyo East,Holstein-Friesian,1,52,Mixed,28,8275
Rachuonyo South,Ayrshire,7,69,Zero-grazing,15,6592
Homa Bay Town,Holstein-Friesian,7,78,Grazing,17,5488
Rachuonyo North,Holstein-Friesian,4,95,Mixed,19,11543
Homa Bay Town,Guernsey,1,67,Mixed,18,6757
Rachuonyo East,Ayrshire,3,81,Grazing,15,10720
Suba South,Ayrshire,2,90,Zero-grazing,18,11372
Rachuonyo South,Ayrshire,3,81,Mixed,21,10609
Rachuonyo South,Guernsey,4,90,Zero-grazing,19,11897
Rachuonyo North,Brown Swiss,5,54,Mixed,24,6937
Suba North,Jersey,5,60,Mixed,28,6908
Rachuonyo East,Ayrshire,2,115,Zero-grazing,15,9481
Rachuonyo North,Brown Swiss,4,117,Grazing,25,10971
Ndhiwa,Jersey,3,105,Grazing,28,11279
Rachuonyo North,Jersey,7,59,Mixed,19,7794
Rachuonyo North,Holstein-Friesian,1,74,Mixed,16,7731
Ndhiwa,Jersey,1,61,Zero-grazing,29,8172
Suba North,Brown Swiss,1,78,Mixed,25,5027
Suba North,Holstein-Friesian,6,70,Mixed,26,2194
Ndhiwa,Ayrshire,4,97,Zero-grazing,16,11923
Rachuonyo East,Holstein-Friesian,5,77,Zero-grazing,21,5102
Suba North,Holstein-Friesian,3,98,Zero-grazing,23,11846
Ndhiwa,Brown Swiss,1,71,Zero-grazing,23,5438
Suba North,Jersey,2,108,Zero-grazing,19,9631
Ndhiwa,Ayrshire,6,65,Mixed,28,3376
Rachuonyo North,Guernsey,1,69,Zero-grazing,18,5900
Suba North,Guernsey,4,92,Mixed,26,9731
Rachuonyo East,Holstein-Friesian,3,84,Zero-grazing,26,9335
Rachuonyo South,Holstein-Friesian,5,67,Zero-grazing,30,5016
Ndhiwa,Brown Swiss,6,54,Grazing,15,2042
Rachuonyo East,Ayrshire,5,60,Mixed,19,5552
Suba North,Brown Swiss,7,63,Zero-grazing,28,7078
Suba North,Brown Swiss,6,63,Mixed,30,3434
Suba South,Guernsey,7,77,Mixed,25,7587
Rachuonyo North,Brown Swiss,7,60,Zero-grazing,21,7436
Rachuonyo North,Ayrshire,5,77,Mixed,21,8289
Rachuonyo North,Guernsey,6,60,Mixed,18,3690
Rachuonyo South,Ayrshire,4,114,Grazing,19,8651
Rachuonyo South,Ayrshire,4,86,Mixed,18,11023
Ndhiwa,Jersey,2,88,Mixed,30,8756
Suba North,Jersey,2,113,Grazing,25,8739
Rachuonyo South,Holstein-Friesian,3,120,Mixed,20,10676
Ndhiwa,Brown Swiss,2,112,Zero-grazing,22,11154
Rachuonyo North,Brown Swiss,3,86,Grazing,21,9918
Rachuonyo South,Guernsey,5,72,Grazing,26,7769
Suba North,Guernsey,1,80,Zero-grazing,30,5801
Suba North,Jersey,1,75,Zero-grazing,21,7025
Suba South,Guernsey,5,58,Grazing,19,7942
Ndhiwa,Ayrshire,6,57,Grazing,26,3517
Rachuonyo North,Holstein-Friesian,3,110,Mixed,24,8923
Rachuonyo South,Guernsey,3,97,Grazing,28,9128
Rachuonyo North,Guernsey,2,116,Zero-grazing,28,8589
Homa Bay Town,Guernsey,6,62,Zero-grazing,28,2960
Rachuonyo East,Holstein-Friesian,1,56,Grazing,24,8060
Suba North,Ayrshire,7,68,Mixed,27,7450
Suba South,Guernsey,2,96,Mixed,29,10357
Suba North,Jersey,1,52,Zero-grazing,30,5748
Homa Bay Town,Ayrshire,3,107,Grazing,19,9923
Suba North,Holstein-Friesian,3,118,Zero-grazing,27,11704
Rachuonyo North,Holstein-Friesian,7,78,Grazing,16,8040
Ndhiwa,Guernsey,3,120,Grazing,29,10570
Rachuonyo North,Guernsey,3,88,Mixed,17,11898
Rachuonyo North,Guernsey,1,79,Zero-grazing,27,5926
Suba South,Ayrshire,6,50,Grazing,24,2470
Rachuonyo South,Holstein-Friesian,2,100,Mixed,28,11732
Suba South,Guernsey,7,72,Mixed,15,5715
Rachuonyo East,Guernsey,1,53,Mixed,17,6417
Suba South,Jersey,4,80,Grazing,23,9044
Rachuonyo North,Guernsey,3,88,Grazing,15,8628
Rachuonyo East,Jersey,3,87,Grazing,15,10566
Ndhiwa,Ayrshire,5,71,Mixed,20,5391
Homa Bay Town,Jersey,7,55,Grazing,18,6077
Rachuonyo East,Holstein-Friesian,2,85,Grazing,20,8722
Suba South,Guernsey,5,65,Mixed,28,5221
Rachuonyo North,Ayrshire,6,63,Grazing,16,3470
Homa Bay Town,Holstein-Friesian,5,63,Grazing,28,8133
Ndhiwa,Brown Swiss,3,80,Grazing,30,8755
Rachuonyo South,Ayrshire,1,55,Mixed,24,6320
Homa Bay Town,Holstein-Friesian,1,56,Zero-grazing,16,6235
Rachuonyo South,Guernsey,5,74,Mixed,26,6592
Suba South,Holstein-Friesian,4,82,Grazing,15,8765
Rachuonyo North,Guernsey,2,82,Zero-grazing,19,9074
Rachuonyo East,Holstein-Friesian,2,111,Zero-grazing,30,10395
Rachuonyo East,Holstein-Friesian,1,55,Mixed,17,5237
Rachuonyo East,Holstein-Friesian,6,53,Grazing,19,2695
Rachuonyo North,Brown Swiss,6,66,Grazing,21,2022
Homa Bay Town,Jersey,7,68,Zero-grazing,27,7757
Rachuonyo South,Jersey,3,99,Zero-grazing,21,10382
Ndhiwa,Brown Swiss,6,67,Grazing,16,3245
Rachuonyo South,Guernsey,6,64,Zero-grazing,21,2098
Homa Bay Town,Ayrshire,5,50,Mixed,18,5992
Suba North,Holstein-Friesian,1,73,Mixed,21,5227
Rachuonyo South,Jersey,4,111,Mixed,15,9498
Suba South,Brown Swiss,4,106,Grazing,22,10306
Suba North,Guernsey,1,78,Zero-grazing,24,5303
Suba South,Ayrshire,5,69,Mixed,27,7158
Ndhiwa,Guernsey,6,67,Zero-grazing,22,3511
Suba North,Jersey,6,66,Mixed,28,2430
Ndhiwa,Brown Swiss,1,67,Zero-grazing,18,6962
Suba South,Holstein-Friesian,6,70,Grazing,18,3799
Rachuonyo East,Ayrshire,3,106,Grazing,20,10728
Rachuonyo North,Ayrshire,7,74,Grazing,19,6158
Rachuonyo East,Jersey,6,68,Zero-grazing,18,2705
Ndhiwa,Jersey,3,110,Mixed,17,8815
Homa Bay Town,Ayrshire,4,116,Zero-grazing,24,10549
Rachuonyo North,Guernsey,3,92,Mixed,28,9022
Homa Bay Town,Ayrshire,7,78,Mixed,25,5311
Rachuonyo North,Holstein-Friesian,6,61,Mixed,27,3476
Ndhiwa,Guernsey,2,96,Mixed,27,10252
Rachuonyo North,Holstein-Friesian,2,98,Zero-grazing,23,8513
Rachuonyo South,Brown Swiss,5,78,Mixed,29,5849
Suba South,Ayrshire,4,103,Zero-grazing,19,10286
Rachuonyo North,Holstein-Friesian,1,63,Grazing,18,7581
Rachuonyo South,Jersey,5,69,Mixed,22,7761
Rachuonyo East,Brown Swiss,5,75,Grazing,20,6358
Rachuonyo North,Jersey,3,84,Grazing,20,11851
Rachuonyo South,Ayrshire,2,97,Zero-grazing,19,10385
Suba North,Jersey,6,64,Mixed,22,2569
Suba South,Brown Swiss,6,67,Zero-grazing,18,2900
Homa Bay Town,Holstein-Friesian,2,89,Mixed,21,10509
Rachuonyo South,Ayrshire,3,98,Grazing,22,10047
Ndhiwa,Guernsey,4,95,Mixed,19,10658
Ndhiwa,Brown Swiss,1,53,Mixed,22,7151
Homa Bay Town,Jersey,1,58,Zero-grazing,30,5292
Suba North,Ayrshire,2,90,Zero-grazing,15,10014
Rachuonyo East,Jersey,7,67,Zero-grazing,19,5805
Homa Bay Town,Jersey,4,117,Zero-grazing,28,11433
Rachuonyo South,Ayrshire,1,52,Grazing,28,6125
Homa Bay Town,Ayrshire,5,54,Zero-grazing,20,6074
Homa Bay Town,Holstein-Friesian,7,51,Zero-grazing,21,6121
Suba South,Guernsey,3,83,Grazing,30,9830
Rachuonyo East,Jersey,3,113,Mixed,16,11027
Suba North,Ayrshire,6,54,Zero-grazing,20,3185
Suba South,Ayrshire,4,114,Zero-grazing,28,8672
Suba North,Jersey,7,58,Mixed,24,5666
Rachuonyo North,Brown Swiss,2,119,Zero-grazing,18,8679
Suba North,Brown Swiss,5,78,Mixed,21,5296
Homa Bay Town,Jersey,2,88,Grazing,26,10161
Homa Bay Town,Brown Swiss,4,120,Mixed,23,11058
Rachuonyo East,Jersey,3,89,Zero-grazing,21,10629
Homa Bay Town,Ayrshire,4,92,Grazing,16,9175
Rachuonyo East,Guernsey,7,72,Grazing,19,6990
Ndhiwa,Holstein-Friesian,3,86,Mixed,15,9156
Rachuonyo South,Guernsey,3,95,Grazing,20,11269
Suba South,Guernsey,7,52,Grazing,30,8457
Suba South,Jersey,1,65,Zero-grazing,16,5834
Ndhiwa,Guernsey,6,52,Grazing,24,2376
Rachuonyo North,Jersey,7,56,Grazing,23,7901
Rachuonyo South,Holstein-Friesian,3,82,Grazing,21,8624
Rachuonyo North,Guernsey,5,50,Zero-grazing,22,7321
Suba South,Holstein-Friesian,5,69,Zero-grazing,21,6866
Suba North,Holstein-Friesian,2,80,Zero-grazing,29,11374
Rachuonyo North,Holstein-Friesian,7,77,Zero-grazing,15,5715
Homa Bay Town,Brown Swiss,7,57,Mixed,29,7281
Suba South,Brown Swiss,5,50,Grazing,23,5630
Ndhiwa,Brown Swiss,7,70,Grazing,26,6330
Suba North,Ayrshire,6,62,Grazing,29,3031
Suba South,Holstein-Friesian,3,83,Mixed,26,9340
Rachuonyo East,Jersey,3,94,Grazing,18,11304
Ndhiwa,Jersey,7,69,Mixed,19,8139
Rachuonyo East,Ayrshire,3,95,Zero-grazing,29,10503
Suba North,Brown Swiss,6,56,Mixed,20,3118
Homa Bay Town,Holstein-Friesian,2,103,Zero-grazing,23,11627
Rachuonyo South,Ayrshire,7,72,Grazing,22,5704
Rachuonyo South,Holstein-Friesian,2,94,Mixed,17,8878
Ndhiwa,Ayrshire,5,58,Grazing,24,7441
Rachuonyo North,Holstein-Friesian,2,99,Zero-grazing,17,10952
Homa Bay Town,Guernsey,1,74,Zero-grazing,17,8068
Ndhiwa,Jersey,7,51,Grazing,20,7419
Rachuonyo East,Guernsey,6,65,Zero-grazing,24,2785
Rachuonyo South,Ayrshire,5,72,Mixed,18,5203
Ndhiwa,Brown Swiss,5,75,Zero-grazing,23,6410
Homa Bay Town,Brown Swiss,1,69,Mixed,15,7366
Homa Bay Town,Brown Swiss,7,63,Zero-grazing,25,7389
Rachuonyo East,Brown Swiss,6,62,Mixed,26,2579
Ndhiwa,Holstein-Friesian,7,58,Zero-grazing,17,5755
Rachuonyo North,Ayrshire,5,53,Mixed,18,5897
Ndhiwa,Guernsey,4,117,Grazing,18,10833
Ndhiwa,Brown Swiss,4,90,Grazing,24,11759
Suba North,Guernsey,7,73,Zero-grazing,23,5465
Homa Bay Town,Holstein-Friesian,1,58,Zero-grazing,24,6365
Rachuonyo North,Guernsey,2,87,Zero-grazing,18,10318
Suba North,Brown Swiss,2,80,Mixed,16,11087
Ndhiwa,Ayrshire,6,54,Zero-grazing,24,2789
Homa Bay Town,Holstein-Friesian,6,60,Grazing,20,2644
Rachuonyo South,Ayrshire,1,67,Mixed,28,6486
Rachuonyo North,Holstein-Friesian,3,98,Zero-grazing,26,10834
Suba South,Jersey,4,91,Zero-grazing,22,11093
Homa Bay Town,Ayrshire,6,69,Grazing,15,2066
Rachuonyo North,Holstein-Friesian,4,81,Zero-grazing,30,9978
Homa Bay Town,Guernsey,6,63,Zero-grazing,17,2135
Rachuonyo South,Holstein-Friesian,4,114,Zero-grazing,28,11801
Rachuonyo East,Holstein-Friesian,1,73,Zero-grazing,29,7204
Rachuonyo North,Jersey,4,88,Grazing,23,8506
Rachuonyo North,Brown Swiss,2,103,Mixed,24,11934
Homa Bay Town,Brown Swiss,4,117,Grazing,24,11439
Suba North,Holstein-Friesian,6,62,Zero-grazing,19,3510
Homa Bay Town,Guernsey,6,51,Grazing,29,3088
Ndhiwa,Ayrshire,3,106,Grazing,17,11362
Rachuonyo East,Jersey,7,77,Grazing,24,5930
Suba South,Holstein-Friesian,6,70,Grazing,27,3812
Suba North,Brown Swiss,3,89,Mixed,26,9734
Rachuonyo South,Brown Swiss,7,61,Grazing,30,8267
Homa Bay Town,Holstein-Friesian,5,64,Zero-grazing,19,5228
Rachuonyo North,Jersey,4,104,Grazing,15,8612
Rachuonyo East,Ayrshire,6,66,Mixed,30,2676
Suba South,Jersey,2,119,Mixed,18,10370
Suba South,Ayrshire,7,56,Zero-grazing,22,5474
Suba North,Brown Swiss,2,86,Mixed,16,10395
Homa Bay Town,Brown Swiss,4,112,Grazing,20,9462
Rachuonyo North,Jersey,5,73,Zero-grazing,27,8024
Homa Bay Town,Guernsey,5,78,Zero-grazing,15,7887
Rachuonyo North,Brown Swiss,7,57,Zero-grazing,27,8365
Rachuonyo South,Brown Swiss,7,53,Grazing,18,6726
Rachuonyo North,Guernsey,3,88,Mixed,20,11356
Rachuonyo South,Holstein-Friesian,6,65,Zero-grazing,17,3851
Homa Bay Town,Ayrshire,7,60,Grazing,24,5603
Rachuonyo North,Holstein-Friesian,4,89,Mixed,28,11542
Rachuonyo North,Brown Swiss,4,94,Mixed,15,11109
Suba North,Guernsey,7,54,Zero-grazing,20,5775
Rachuonyo East,Ayrshire,1,50,Mixed,24,8360
Homa Bay Town,Holstein-Friesian,2,111,Zero-grazing,20,10644
Suba North,Guernsey,2,93,Zero-grazing,25,11344
Homa Bay Town,Holstein-Friesian,6,56,Mixed,19,2581
Suba South,Jersey,4,118,Zero-grazing,15,9117
Ndhiwa,Ayrshire,7,75,Zero-grazing,20,7547
Rachuonyo South,Guernsey,3,113,Zero-grazing,28,11223
Rachuonyo North,Guernsey,1,70,Mixed,24,6464
Suba North,Holstein-Friesian,7,58,Zero-grazing,17,5187
Rachuonyo South,Guernsey,4,117,Mixed,15,11062
Ndhiwa,Guernsey,5,77,Grazing,16,5556
Suba South,Holstein-Friesian,4,109,Grazing,25,8681
Ndhiwa,Brown Swiss,7,67,Zero-grazing,22,7947
Rachuonyo North,Brown Swiss,2,101,Grazing,15,9062
Rachuonyo South,Jersey,4,87,Grazing,26,10985
Ndhiwa,Holstein-Friesian,6,60,Mixed,25,3772
Homa Bay Town,Brown Swiss,3,93,Zero-grazing,21,11212
Suba North,Brown Swiss,1,64,Zero-grazing,24,8381
Rachuonyo East,Brown Swiss,4,115,Zero-grazing,23,10424
Rachuonyo North,Holstein-Friesian,3,93,Grazing,25,8756
Rachuonyo South,Jersey,5,76,Grazing,15,7980
Rachuonyo South,Jersey,5,77,Mixed,27,5053
Rachuonyo North,Jersey,5,77,Mixed,16,7079
Rachuonyo East,Brown Swiss,6,66,Mixed,23,2834
Rachuonyo South,Ayrshire,5,53,Mixed,20,7392
Ndhiwa,Holstein-Friesian,6,67,Grazing,21,3021
Suba South,Jersey,2,90,Zero-grazing,25,8512
Rachuonyo South,Holstein-Friesian,2,83,Mixed,29,11644
Rachuonyo East,Holstein-Friesian,6,69,Mixed,29,2726
Suba South,Guernsey,2,81,Grazing,16,10431
Homa Bay Town,Ayrshire,2,106,Mixed,30,8585
Rachuonyo North,Jersey,2,116,Mixed,18,9933
Ndhiwa,Brown Swiss,1,79,Mixed,24,7796
Suba South,Jersey,5,53,Zero-grazing,15,5153
Ndhiwa,Jersey,5,71,Grazing,29,5629
Rachuonyo East,Jersey,3,112,Mixed,20,10724
Rachuonyo East,Holstein-Friesian,2,108,Grazing,30,9860
Suba North,Ayrshire,3,85,Zero-grazing,17,10822
Ndhiwa,Guernsey,7,72,Grazing,17,6704
Suba South,Brown Swiss,6,70,Zero-grazing,29,2781
Ndhiwa,Holstein-Friesian,7,60,Grazing,23,5554
Suba North,Jersey,7,64,Mixed,21,7489
Rachuonyo South,Ayrshire,5,68,Mixed,16,7047
Rachuonyo East,Brown Swiss,5,71,Zero-grazing,20,5129
Rachuonyo North,Jersey,3,119,Zero-grazing,20,11051
Suba South,Holstein-Friesian,4,91,Mixed,22,11424
Ndhiwa,Ayrshire,6,65,Mixed,17,2732
Rachuonyo South,Ayrshire,4,116,Zero-grazing,24,10050
Suba North,Guernsey,2,117,Grazing,23,10306
Rachuonyo North,Ayrshire,1,64,Zero-grazing,20,7687
Suba South,Guernsey,4,93,Grazing,20,10758
Rachuonyo North,Ayrshire,1,59,Grazing,17,5184
Rachuonyo East,Guernsey,6,63,Mixed,25,2657
Rachuonyo East,Ayrshire,3,89,Zero-grazing,26,10572
Ndhiwa,Brown Swiss,1,79,Grazing,28,5692
Rachuonyo South,Brown Swiss,7,58,Zero-grazing,16,8445
Suba South,Guernsey,6,54,Mixed,19,3754
Rachuonyo North,Brown Swiss,1,69,Zero-grazing,20,5203
Homa Bay Town,Ayrshire,1,78,Grazing,21,5859
Suba North,Guernsey,6,56,Zero-grazing,27,2751
Ndhiwa,Ayrshire,1,66,Mixed,22,8060
Homa Bay Town,Ayrshire,7,78,Grazing,23,6925
Suba North,Holstein-Friesian,4,98,Grazing,23,11058
Rachuonyo North,Jersey,2,92,Grazing,16,9976
Suba North,Brown Swiss,2,106,Zero-grazing,30,9466
Rachuonyo North,Ayrshire,1,73,Grazing,20,6957
Suba South,Ayrshire,1,73,Zero-grazing,24,6553
Rachuonyo North,Brown Swiss,2,98,Grazing,21,11639
Suba North,Holstein-Friesian,5,59,Mixed,22,7814
Homa Bay Town,Holstein-Friesian,3,120,Mixed,25,11797
Suba North,Brown Swiss,6,68,Zero-grazing,17,2030
Ndhiwa,Guernsey,4,93,Mixed,17,9403
Rachuonyo East,Jersey,5,66,Mixed,23,6462
Rachuonyo South,Ayrshire,1,77,Zero-grazing,19,6908
Rachuonyo North,Jersey,1,64,Zero-grazing,15,8263
Ndhiwa,Ayrshire,3,100,Zero-grazing,21,10041
Suba North,Ayrshire,1,74,Zero-grazing,26,5308
Suba South,Holstein-Friesian,4,112,Mixed,23,9516
Rachuonyo East,Jersey,3,106,Grazing,27,9779
Rachuonyo South,Guernsey,7,59,Grazing,23,5727
Rachuonyo North,Brown Swiss,2,82,Mixed,30,11376
Suba South,Guernsey,4,109,Zero-grazing,24,10104
Rachuonyo North,Ayrshire,2,93,Zero-grazing,30,11182
Rachuonyo East,Brown Swiss,4,118,Zero-grazing,17,10337
Rachuonyo North,Brown Swiss,6,64,Zero-grazing,27,2053
Suba South,Holstein-Friesian,5,80,Grazing,19,6734
Rachuonyo North,Holstein-Friesian,7,53,Mixed,27,6674
Homa Bay Town,Guernsey,2,86,Mixed,18,10960
Rachuonyo East,Brown Swiss,4,98,Mixed,17,9080
Rachuonyo South,Holstein-Friesian,7,63,Mixed,23,5339
Rachuonyo East,Holstein-Friesian,5,68,Mixed,19,6122
Rachuonyo North,Guernsey,1,53,Zero-grazing,26,8365
Rachuonyo South,Brown Swiss,6,62,Mixed,16,3896
Rachuonyo North,Brown Swiss,1,56,Mixed,24,5373
Rachuonyo South,Brown Swiss,6,66,Mixed,27,2012
Homa Bay Town,Holstein-Friesian,4,87,Grazing,18,8681
Ndhiwa,Brown Swiss,5,71,Grazing,17,6825
Suba South,Brown Swiss,6,61,Mixed,26,3973
Suba North,Ayrshire,4,82,Mixed,17,8725
Rachuonyo South,Brown Swiss,4,92,Mixed,27,9252
Rachuonyo North,Guernsey,2,104,Zero-grazing,29,8601
Rachuonyo North,Ayrshire,2,101,Grazing,20,9371
Suba South,Ayrshire,2,88,Zero-grazing,16,11546
Homa Bay Town,Jersey,4,110,Mixed,21,10189
Homa Bay Town,Ayrshire,1,78,Zero-grazing,18,5115
Rachuonyo South,Holstein-Friesian,7,67,Mixed,24,8207
Ndhiwa,Brown Swiss,6,67,Zero-grazing,30,2930
Homa Bay Town,Holstein-Friesian,3,84,Mixed,24,9105
Suba North,Jersey,7,53,Zero-grazing,20,8371
Rachuonyo East,Jersey,6,68,Grazing,26,2097
Homa Bay Town,Brown Swiss,4,102,Zero-grazing,17,11661
Rachuonyo East,Ayrshire,5,68,Grazing,22,6357
Suba North,Ayrshire,2,107,Grazing,22,10651
Homa Bay Town,Brown Swiss,7,59,Grazing,23,5375
Suba South,Holstein-Friesian,6,54,Mixed,16,2109
Homa Bay Town,Guernsey,7,69,Mixed,15,7536
Suba South,Holstein-Friesian,7,68,Grazing,19,5872
Suba North,Ayrshire,3,119,Zero-grazing,29,11917
Rachuonyo North,Ayrshire,2,110,Grazing,18,9641
Suba North,Ayrshire,6,58,Zero-grazing,18,3442
Rachuonyo North,Brown Swiss,6,68,Grazing,23,2505
Homa Bay Town,Ayrshire,7,67,Grazing,29,8134
Rachuonyo North,Brown Swiss,5,71,Zero-grazing,24,8069
Rachuonyo North,Holstein-Friesian,1,67,Grazing,21,8049
Homa Bay Town,Jersey,4,104,Grazing,26,11551
Suba South,Jersey,2,103,Zero-grazing,22,8832
Suba North,Holstein-Friesian,1,77,Mixed,29,7855
Suba North,Jersey,1,67,Zero-grazing,30,6256
Ndhiwa,Brown Swiss,5,52,Mixed,17,5202
Rachuonyo North,Brown Swiss,4,112,Zero-grazing,15,8699
Rachuonyo East,Jersey,1,51,Grazing,27,6842
Rachuonyo South,Guernsey,4,110,Zero-grazing,29,10554
Rachuonyo South,Ayrshire,6,64,Mixed,28,3525
Homa Bay Town,Holstein-Friesian,3,82,Zero-grazing,24,9489
Rachuonyo East,Brown Swiss,4,109,Grazing,24,11749
Suba South,Guernsey,4,93,Mixed,26,11780
Suba North,Holstein-Friesian,6,68,Mixed,24,2245
Rachuonyo East,Guernsey,1,65,Zero-grazing,24,6403
Suba South,Ayrshire,2,100,Mixed,23,9916
Ndhiwa,Brown Swiss,5,76,Zero-grazing,30,5372
Rachuonyo East,Ayrshire,1,64,Mixed,18,7057
Suba North,Ayrshire,7,51,Zero-grazing,20,7109
Rachuonyo East,Jersey,6,70,Zero-grazing,18,2486
Suba South,Jersey,6,66,Grazing,25,2501
Rachuonyo South,Jersey,6,59,Grazing,29,3231
Ndhiwa,Holstein-Friesian,5,71,Grazing,23,7919
Rachuonyo East,Ayrshire,1,62,Grazing,29,8275
Rachuonyo South,Brown Swiss,1,54,Mixed,23,5780
Rachuonyo East,Guernsey,7,57,Grazing,25,5510
Rachuonyo East,Jersey,7,56,Zero-grazing,28,6606
Rachuonyo East,Ayrshire,2,97,Mixed,29,10019
Suba North,Jersey,6,70,Grazing,26,2767
Rachuonyo North,Ayrshire,7,53,Zero-grazing,28,6691
Rachuonyo South,Holstein-Friesian,3,112,Mixed,22,9374
Rachuonyo North,Holstein-Friesian,5,72,Grazing,19,7818
Homa Bay Town,Brown Swiss,5,58,Grazing,20,6397
Ndhiwa,Ayrshire,7,78,Mixed,22,5324
Homa Bay Town,Ayrshire,5,68,Grazing,23,5474
Suba North,Brown Swiss,3,80,Mixed,17,10792
Rachuonyo North,Holstein-Friesian,4,97,Mixed,27,11923
Rachuonyo East,Ayrshire,6,64,Mixed,23,3424
Ndhiwa,Jersey,1,79,Grazing,20,7914
Ndhiwa,Guernsey,2,83,Zero-grazing,30,10107
Suba South,Brown Swiss,3,87,Zero-grazing,20,10536
Ndhiwa,Guernsey,6,54,Mixed,17,2454
Rachuonyo North,Brown Swiss,6,58,Zero-grazing,16,3246
Suba South,Brown Swiss,2,113,Mixed,16,10733
Rachuonyo South,Guernsey,1,77,Mixed,15,5432
Suba South,Guernsey,2,84,Zero-grazing,18,11327
Suba North,Jersey,5,73,Mixed,17,5445
Ndhiwa,Guernsey,4,114,Grazing,23,9457
Ndhiwa,Holstein-Friesian,2,120,Zero-grazing,29,11326
Suba South,Jersey,5,56,Mixed,25,6070
Ndhiwa,Brown Swiss,2,83,Mixed,21,10599
Suba North,Ayrshire,3,100,Zero-grazing,22,9959
Homa Bay Town,Brown Swiss,6,66,Mixed,20,3471
Suba North,Jersey,1,52,Grazing,26,5234
Rachuonyo North,Guernsey,3,84,Mixed,23,10055
Homa Bay Town,Holstein-Friesian,5,73,Zero-grazing,21,5700
Ndhiwa,Holstein-Friesian,7,62,Zero-grazing,26,7328
Suba North,Brown Swiss,6,65,Zero-grazing,29,3247
Rachuonyo East,Guernsey,3,107,Zero-grazing,17,11936
Rachuonyo East,Brown Swiss,1,63,Zero-grazing,20,5285
Rachuonyo North,Brown Swiss,2,108,Mixed,18,11979
Ndhiwa,Brown Swiss,7,71,Zero-grazing,26,7513
Ndhiwa,Brown Swiss,5,57,Grazing,23,5859
Rachuonyo South,Jersey,2,101,Mixed,20,11479
Suba South,Holstein-Friesian,2,83,Grazing,30,8720
Suba South,Ayrshire,6,69,Mixed,28,3104
Suba South,Jersey,7,63,Zero-grazing,29,8336
Rachuonyo South,Jersey,7,61,Zero-grazing,20,8007
Suba North,Holstein-Friesian,2,83,Mixed,29,8657
Rachuonyo East,Jersey,7,55,Zero-grazing,27,7882
Homa Bay Town,Holstein-Friesian,6,59,Zero-grazing,29,3977
Homa Bay Town,Guernsey,5,76,Mixed,18,5340
Rachuonyo East,Guernsey,6,65,Grazing,23,2286
Ndhiwa,Holstein-Friesian,6,64,Mixed,21,3259
Homa Bay Town,Ayrshire,2,118,Mixed,24,10564
Suba South,Guernsey,5,51,Zero-grazing,23,8152
Rachuonyo North,Guernsey,3,109,Mixed,17,9675
Rachuonyo North,Brown Swiss,3,80,Grazing,26,11321
Suba North,Jersey,6,52,Mixed,19,3875
Homa Bay Town,Jersey,5,50,Grazing,21,6175
Suba South,Brown Swiss,3,112,Grazing,26,9145
Suba South,Jersey,1,51,Grazing,21,7360
Rachuonyo North,Holstein-Friesian,4,86,Zero-grazing,26,8699
Rachuonyo North,Jersey,7,73,Mixed,19,7169
Ndhiwa,Ayrshire,4,98,Zero-grazing,23,9180
Homa Bay Town,Brown Swiss,4,82,Zero-grazing,30,10300
Rachuonyo East,Ayrshire,6,70,Grazing,29,2553
Suba South,Ayrshire,4,86,Zero-grazing,17,11429
Rachuonyo North,Brown Swiss,5,70,Zero-grazing,19,7232
Rachuonyo South,Brown Swiss,4,104,Zero-grazing,28,11706
Rachuonyo East,Ayrshire,7,69,Zero-grazing,24,5280
Ndhiwa,Brown Swiss,7,55,Mixed,26,6499
Suba North,Holstein-Friesian,6,70,Mixed,17,3359
